scenario,timestamp,phase,round,endpoint,label,method,url,ok,status,latencyMs,error
"cpu-throttle","2026-04-18T05:50:05.819Z","fault","19","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","421",""
"cpu-throttle","2026-04-18T05:50:05.712Z","fault","19","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","314",""
"cpu-throttle","2026-04-18T05:50:07.399Z","fault","20","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:50:07.410Z","fault","20","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","12",""
"cpu-throttle","2026-04-18T05:50:07.410Z","fault","20","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","12",""
"cpu-throttle","2026-04-18T05:50:07.707Z","fault","20","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","309",""
"cpu-throttle","2026-04-18T05:50:07.414Z","fault","20","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","16",""
"cpu-throttle","2026-04-18T05:50:07.803Z","fault","20","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","405",""
"cpu-throttle","2026-04-18T05:50:07.705Z","fault","20","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","307",""
"cpu-throttle","2026-04-18T05:50:09.401Z","fault","21","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:50:09.411Z","fault","21","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","11",""
"cpu-throttle","2026-04-18T05:50:09.411Z","fault","21","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","11",""
"cpu-throttle","2026-04-18T05:50:09.502Z","fault","21","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","102",""
"cpu-throttle","2026-04-18T05:50:09.503Z","fault","21","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","103",""
"cpu-throttle","2026-04-18T05:50:09.715Z","fault","21","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","315",""
"cpu-throttle","2026-04-18T05:50:09.713Z","fault","21","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","313",""
"cpu-throttle","2026-04-18T05:50:11.401Z","fault","22","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:50:11.415Z","fault","22","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","15",""
"cpu-throttle","2026-04-18T05:50:11.415Z","fault","22","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","15",""
"cpu-throttle","2026-04-18T05:50:11.601Z","fault","22","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","201",""
"cpu-throttle","2026-04-18T05:50:11.600Z","fault","22","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","200",""
"cpu-throttle","2026-04-18T05:50:11.899Z","fault","22","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","499",""
"cpu-throttle","2026-04-18T05:50:11.712Z","fault","22","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","312",""
"cpu-throttle","2026-04-18T05:50:13.400Z","fault","23","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","0",""
"cpu-throttle","2026-04-18T05:50:13.411Z","fault","23","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","11",""
"cpu-throttle","2026-04-18T05:50:13.412Z","fault","23","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","11",""
"cpu-throttle","2026-04-18T05:50:13.704Z","fault","23","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","304",""
"cpu-throttle","2026-04-18T05:50:13.414Z","fault","23","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","14",""
"cpu-throttle","2026-04-18T05:50:13.804Z","fault","23","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","404",""
"cpu-throttle","2026-04-18T05:50:13.711Z","fault","23","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","311",""
"cpu-throttle","2026-04-18T05:50:15.400Z","fault","24","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","0",""
"cpu-throttle","2026-04-18T05:50:15.416Z","fault","24","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","15",""
"cpu-throttle","2026-04-18T05:50:15.415Z","fault","24","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","15",""
"cpu-throttle","2026-04-18T05:50:15.603Z","fault","24","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","203",""
"cpu-throttle","2026-04-18T05:50:15.603Z","fault","24","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","203",""
"cpu-throttle","2026-04-18T05:50:15.901Z","fault","24","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","501",""
"cpu-throttle","2026-04-18T05:50:15.716Z","fault","24","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","316",""
"cpu-throttle","2026-04-18T05:50:17.401Z","fault","25","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:50:17.413Z","fault","25","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","13",""
"cpu-throttle","2026-04-18T05:50:17.413Z","fault","25","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","13",""
